"PUBLICATION","SCENARIO","CATEGORY","PRODUCT","FLOW","UNIT","REGION","YEAR","VALUE"
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Wind","Total energy supply","EJ","World",2035,34.285
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Wind","Total energy supply","EJ","World",2040,45.724
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Wind","Total energy supply","EJ","World",2050,66.356
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Wind","Total energy supply","EJ","World",2022,7.648
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Wind","Total energy supply","EJ","World",2030,25.454
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Wind","Total energy supply","EJ","World",2035,42.924
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Wind","Total energy supply","EJ","World",2040,60.574
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Wind","Total energy supply","EJ","World",2050,84.39
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Hydro","Total energy supply","EJ","World",2010,12.41
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Hydro","Total energy supply","EJ","World",2021,15.457
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Hydro","Total energy supply","EJ","World",2022,15.74
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Hydro","Total energy supply","EJ","World",2030,17.908
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Hydro","Total energy supply","EJ","World",2035,19.03
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Hydro","Total energy supply","EJ","World",2040,19.969
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Hydro","Total energy supply","EJ","World",2050,22.84
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Hydro","Total energy supply","EJ","World",2022,15.74
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Hydro","Total energy supply","EJ","World",2030,18.233
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Hydro","Total energy supply","EJ","World",2035,20.328
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Hydro","Total energy supply","EJ","World",2040,22.6
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Hydro","Total energy supply","EJ","World",2050,26.738
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Hydro","Total energy supply","EJ","World",2022,15.74
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Hydro","Total energy supply","EJ","World",2030,19.825
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Hydro","Total energy supply","EJ","World",2035,23.509
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Hydro","Total energy supply","EJ","World",2040,26.765
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Hydro","Total energy supply","EJ","World",2050,29.611
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2010,23.027
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2021,33.469
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2022,35.042
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2030,44.234
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2035,47.66
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2040,50.662
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2050,56.721
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2022,35.042
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2030,51.011
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2035,59.474
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2040,65.452
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2050,74.224
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2022,35.042
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2030,55.105
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2035,65.454
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2040,70.846
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: solid","Total energy supply","EJ","World",2050,72.844
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2010,2.425
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2021,4.06
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2022,4.261
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2030,6.016
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2035,7.003
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2040,7.786
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2050,9.044
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2022,4.261
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2030,9.494
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2035,12.236
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2040,13.785
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2050,13.837
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2022,4.261
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2030,11.147
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2035,13.226
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2040,13.44
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: liquid","Total energy supply","EJ","World",2050,10.677
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2010,0.835
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2021,1.289
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2022,1.317
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2030,2.379
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2035,3.432
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2040,4.699
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2050,8.1
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2022,1.317
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2030,4.215
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2035,6.147
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2040,8.209
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2050,12.67
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2022,1.317
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2030,6.583
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2035,8.97
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2040,11.22
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Modern bioenergy: gas","Total energy supply","EJ","World",2050,14.846
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2010,25.281
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2021,24.008
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2022,24.142
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2030,18.975
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2035,18.316
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2040,17.599
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2050,16.433
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2022,24.142
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2030,8.189
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2035,6.848
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2040,5.687
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2050,4.849
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2022,24.142
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2030,0
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2035,0
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2040,0
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Traditional use of biomass","Total energy supply","EJ","World",2050,0
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Nuclear","Total energy supply","EJ","World",2010,30.091
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Nuclear","Total energy supply","EJ","World",2021,30.681
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Nuclear","Total energy supply","EJ","World",2022,29.285
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Nuclear","Total energy supply","EJ","World",2030,36.773
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Nuclear","Total energy supply","EJ","World",2035,40.235
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Nuclear","Total energy supply","EJ","World",2040,42.708
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Nuclear","Total energy supply","EJ","World",2050,47.943
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Nuclear","Total energy supply","EJ","World",2022,29.285
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Nuclear","Total energy supply","EJ","World",2030,38.29
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Nuclear","Total energy supply","EJ","World",2035,45.408
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Nuclear","Total energy supply","EJ","World",2040,52.442
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Nuclear","Total energy supply","EJ","World",2050,59.036
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Nuclear","Total energy supply","EJ","World",2022,29.285
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Nuclear","Total energy supply","EJ","World",2030,43.403
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Nuclear","Total energy supply","EJ","World",2035,55.489
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Nuclear","Total energy supply","EJ","World",2040,63.182
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Nuclear","Total energy supply","EJ","World",2050,67.06
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2010,114.964
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2021,145.714
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2022,143.546
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2030,147.541
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2035,145.135
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2040,143.419
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2050,141.563
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2022,143.546
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2030,130.096
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2035,111.48
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2040,96.197
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2050,71.348
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2022,143.546
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2030,112.55
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2035,67.94
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2040,39.691
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2050,13.579
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2010,0.258
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2021,0.536
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2022,0.533
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2030,1.147
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2035,1.716
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2040,2.308
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2050,2.857
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2022,0.533
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2030,3.335
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2035,5.575
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2040,7.992
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2050,12.914
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2022,0.533
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2030,5.824
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2035,9.029
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2040,13.201
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2050,18.444
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Oil","Total energy supply","EJ","World",2010,173.018
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Oil","Total energy supply","EJ","World",2021,182.443
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Oil","Total energy supply","EJ","World",2022,186.738
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Oil","Total energy supply","EJ","World",2030,194.938
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Oil","Total energy supply","EJ","World",2035,190.648
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Oil","Total energy supply","EJ","World",2040,186.972
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Oil","Total energy supply","EJ","World",2050,185.825
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Oil","Total energy supply","EJ","World",2022,186.738
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Oil","Total energy supply","EJ","World",2030,176.917
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Oil","Total energy supply","EJ","World",2035,155.242
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Oil","Total energy supply","EJ","World",2040,132.925
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Oil","Total energy supply","EJ","World",2050,101.739
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Oil","Total energy supply","EJ","World",2022,186.738
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Oil","Total energy supply","EJ","World",2030,148.22
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Oil","Total energy supply","EJ","World",2035,110.404
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Oil","Total energy supply","EJ","World",2040,78.932
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Oil","Total energy supply","EJ","World",2050,41.686
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Oil","Non-energy use","EJ","World",2010,24.928
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Oil","Non-energy use","EJ","World",2021,31.18
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Oil","Non-energy use","EJ","World",2022,31.604
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Oil","Non-energy use","EJ","World",2030,37.904
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Oil","Non-energy use","EJ","World",2035,39.543
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Oil","Non-energy use","EJ","World",2040,40.59
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Oil","Non-energy use","EJ","World",2050,41.175
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Oil","Non-energy use","EJ","World",2022,31.604
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Oil","Non-energy use","EJ","World",2030,36.169
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Oil","Non-energy use","EJ","World",2035,36.421
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Oil","Non-energy use","EJ","World",2040,36.057
"World Energy Outlook 2023","Announced Pledges Scenario","Energy","Oil","Non-energy use","EJ","World",2050,34.402
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Oil","Non-energy use","EJ","World",2022,31.604
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Oil","Non-energy use","EJ","World",2030,35.137
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Oil","Non-energy use","EJ","World",2035,34.426
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Oil","Non-energy use","EJ","World",2040,33.431
"World Energy Outlook 2023","Net Zero Emissions by 2050 Scenario","Energy","Oil","Non-energy use","EJ","World",2050,30.402
"World Energy Outlook 2023","Stated Policies Scenario","Energy","Coal: unabated","Total energy supply","EJ","World",2010,152.922
